dc_class,dcca_eng,NTorDC,dcca_class,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_diff_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth
S,Kwai Tsing - Shek Yam,7,S08,1498,211,423,691,50,1635,1007,1667,1746,390
S,Kwai Tsing - Tai Pak Tin West,7,S09,1327,139,358,369,42,1883,767,1757,1242,310
S,Kwai Tsing - Tai Pak Tin East,7,S10,1544,107,332,405,59,1626,584,1070,1344,246
S,Kwai Tsing - On Yam,7,S11,1728,78,312,327,7,1125,732,1221,1400,426
S,Kwai Tsing - Shek Lei North,7,S12,1343,64,344,461,30,1269,647,1309,1102,251
S,Kwai Tsing - Shek Lei South,7,S13,1686,160,438,573,32,1604,812,1796,1495,417
S,Kwai Tsing - Kwai Fong,7,S14,1206,361,260,336,57,1609,1116,2030,1440,434
S,Kwai Tsing - Hing Fong,7,S15,1093,127,540,474,7,1069,1186,1599,1063,319
S,Kwai Tsing - Wah Lai,7,S16,694,171,707,299,25,1077,1241,1747,1018,265
S,Kwai Tsing - Lai Wah,7,S17,633,102,1099,286,14,758,1090,2291,806,288
S,Kwai Tsing - Cho Yiu,7,S18,777,220,732,388,46,866,1084,1623,891,355
S,Kwai Tsing - Lai King,7,S19,600,123,503,167,11,672,1110,1630,769,414
S,Kwai Tsing - Kwai Shing West Estate,7,S20,1484,115,356,407,25,1198,871,1912,1257,253
S,Kwai Tsing - On Ho,0,S21,810,256,741,440,23,508,1759,2259,1773,391
S,Kwai Tsing - Wai Ying,0,S22,757,436,809,469,139,450,2118,2291,1707,443
S,Kwai Tsing - Tsing Yi Estate,0,S23,740,112,263,349,37,573,1262,1865,1713,335
S,Kwai Tsing - Greenfield,0,S24,1731,115,663,892,12,527,2167,2213,2397,673
S,Kwai Tsing - Cheung Ching,0,S25,1339,140,475,761,11,827,1351,2109,2494,390
S,Kwai Tsing - Cheung Hong,0,S26,796,66,360,377,-,485,772,1388,1796,400
S,Kwai Tsing - Shing Hong,0,S27,795,90,244,363,13,655,828,1530,1537,351
S,Kwai Tsing - Tsing Yi South,0,S28,1112,164,833,1047,81,712,1467,2006,2691,529
S,Kwai Tsing - Cheung Hang,0,S29,622,43,206,525,14,561,556,1300,1362,356
S,Kwai Tsing - Ching Fat,0,S30,633,60,397,452,-,496,1441,1738,2260,436
S,Kwai Tsing - Cheung On,0,S31,501,65,156,128,26,528,525,1140,1122,555
T,Islands - Lantau,5,T01,1248,848,560,1051,107,1983,2227,1344,1160,922
T,Islands - Mun Yat,5,T02,2975,319,720,931,129,1563,1135,1785,1581,2609
T,Islands - Yat Tung Estate North,5,T03,2372,461,996,884,252,1700,1017,1956,1299,2887
T,Islands - Tung Chung South,5,T04,1274,301,480,398,219,719,2390,1757,1111,2577
T,Islands - Tung Chung Central,5,T05,1358,421,607,348,503,310,2537,2388,1078,1559
T,Islands - Tung Chung North,5,T06,1460,414,612,432,147,696,2006,1317,1014,1561
T,Islands - Discovery Bay,T,T07,1807,409,413,765,-,984,3231,1254,613,62
T,Islands - Peng Chau & Hei Ling Chau,T,T08,168,271,79,72,-,735,1122,533,221,66
T,Islands - Lamma & Po Toi,T,T09,200,349,68,124,2,628,1649,449,104,20
T,Islands - Cheung Chau,T,T10,1313,422,167,398,-,2709,3239,1228,449,41
