dc_class,dcca_eng,NTorDC,dcca_class,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_diff_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth
J,Kwun Tong - Yau Tong East,J,J23,926,151,271,248,17,1271,1448,869,487,187
J,Kwun Tong - Yau Chui,J,J24,1552,464,1040,516,88,1096,2084,1603,1001,339
J,Kwun Tong - Yau Lai,J,J25,1528,268,410,343,29,1293,1565,1187,696,199
J,Kwun Tong - Yau Tong West,J,J26,1393,389,499,688,-,2381,2389,1652,907,303
J,Kwun Tong - Laguna City,J,J27,897,810,1222,777,99,2318,2891,1870,1234,329
J,Kwun Tong - King Tin,J,J28,1396,592,1012,547,42,1938,2879,1831,1109,177
J,Kwun Tong - Tsui Ping,J,J29,1311,308,538,192,10,1998,1186,1471,996,328
J,Kwun Tong - Hiu Lai,J,J30,1208,195,677,271,34,1971,1816,1381,787,212
J,Kwun Tong - Po Lok,J,J31,629,155,343,195,26,1524,1047,1155,786,121
J,Kwun Tong - Yuet Wah,J,J32,1155,222,462,98,19,2022,990,1223,575,117
J,Kwun Tong - Hip Hong,J,J33,1590,172,295,314,28,1827,1257,1378,632,210
J,Kwun Tong - Lok Wah South,J,J34,819,154,313,135,26,1037,916,780,617,225
J,Kwun Tong - Lok Wah North,J,J35,664,104,342,177,12,1221,740,1170,733,151
J,Kwun Tong - Hong Lok,J,J36,1449,222,400,345,13,2012,1343,1228,857,228
J,Kwun Tong - Ting On,J,J37,1315,95,385,273,-,1587,1198,1354,945,281
J,Kwun Tong - Upper Ngau Tau Kok Estate,J,J38,1176,129,339,267,35,1467,979,1164,729,155
J,Kwun Tong - Lower Ngau Tau Kok Estate,J,J39,1417,270,798,278,21,1609,1570,1806,959,259
J,Kwun Tong - To Tai,J,J40,1055,126,564,237,12,2202,2034,1773,1076,233
K,Tsuen Wan - Tak Wah,6,K01,1484,55,328,344,39,1386,780,1070,1005,342
K,Tsuen Wan - Yeung Uk Road,6,K02,1796,119,507,534,6,1665,857,1450,1454,246
